unique;id;round;agentNum;agentName;parPro;parGender;stimulus;offerAg;offerPar;accepted;age;edu;relationship;atgM;status;masculinity;0;1;2;3;4;5;Zstatus;Zmasculinity
i34r35;34;35;2;Karolina;1;1;0;4;6;0;39;2;0;1;0;73;0;0,474538379999998;-4,064309690000000;-10,084731850000000;-10,227295510000000;-3,994713170000000;-1,92903;1,06799
i34r36;34;36;1;Tomek;0;1;1;4;6;1;39;2;0;1;40;55;0;-4,596785320000000;-6,975941269999990;-4,112735899999990;-6,784437240000000;-7,730268430000000;-0,33899;0,01942
i34r37;34;37;1;Tomek;1;1;0;4;6;0;39;2;0;1;40;55;0;1,253792490000010;1,029079770000000;0,473823100000004;-0,892441199999993;0,584136139999998;-0,33899;0,01942
i34r38;34;38;2;Karolina;1;1;0;4;6;1;39;2;0;1;0;73;0;2,354959949999990;4,375546500000000;1,552374779999990;-3,562640410000000;-6,152602750000000;-1,92903;1,06799
i34r39;34;39;2;Karolina;1;1;0;5;5;0;39;2;0;1;0;73;0;4,189630050000010;3,158147260000010;-1,771419089999990;-6,382935819999990;-3,626971479999990;-1,92903;1,06799
i34r40;34;40;1;Tomek;0;1;1;5;5;0;39;2;0;1;40;55;0;1,060843460000000;0,161124010000009;-1,686115810000000;1,102292770000010;-1,609509450000000;-0,33899;0,01942
i35r1;35;1;1;Tomek;1;0;1;5;5;0;26;4;0;0;73;38;0;-0,393947539999999;4,627807010000010;12,269982360000000;6,579305900000010;5,632655050000010;0,97279;-0,97090
i35r2;35;2;2;Karolina;0;0;0;4;6;1;26;4;0;0;50;46;0;9,665538119999990;11,201808500000000;7,401345220000000;5,870752979999990;10,255157650000000;0,05852;-0,50487
i35r3;35;3;1;Tomek;1;0;0;6;4;0;26;4;0;0;73;38;0;6,870769890000010;5,411660330000000;2,103615160000000;9,006054890000000;4,512892920000000;0,97279;-0,97090
i35r4;35;4;2;Karolina;1;0;0;5;5;0;26;4;0;0;50;46;0;-9,754146070000000;-11,255777650000000;-6,883623060000010;-7,476751250000010;-11,443562260000000;0,05852;-0,50487
i35r5;35;5;2;Karolina;0;0;1;4;6;1;26;4;0;0;50;46;0;-0,766954239999990;3,938169380000010;-1,293641780000000;-6,333008959999990;-6,996090069999990;0,05852;-0,50487
i35r6;35;6;1;Tomek;1;0;2;2;8;0;26;4;0;0;73;38;0;1,831603489999990;8,306728600000000;8,921082729999990;2,740111009999990;-1,235174580000010;0,97279;-0,97090
i35r7;35;7;1;Tomek;0;0;1;4;6;1;26;4;0;0;73;38;0;-0,513874609999988;9,745777240000010;12,091167410000000;7,633150780000010;-2,698360639999990;0,97279;-0,97090
i35r8;35;8;2;Karolina;0;0;0;2;8;1;26;4;0;0;50;46;0;7,155829239999990;5,161873950000000;0,622361450000000;0,108981789999987;6,978014910000000;0,05852;-0,50487
i35r9;35;9;1;Tomek;0;0;0;2;8;1;26;4;0;0;73;38;0;-1,301343930000000;2,670940180000000;0,363583480000003;-1,340017649999990;4,356293570000010;0,97279;-0,97090
i35r10;35;10;2;Karolina;0;0;0;4;6;1;26;4;0;0;50;46;0;4,318774450000010;4,974766420000010;8,104718100000000;16,889346080000000;14,395170650000000;0,05852;-0,50487
i35r11;35;11;2;Karolina;0;0;0;5;5;0;26;4;0;0;50;46;0;6,503830030000000;6,236628490000000;3,609513920000000;-0,225689140000000;0,963230580000001;0,05852;-0,50487
i35r12;35;12;1;Tomek;1;0;0;7;3;1;26;4;0;0;73;38;0;-5,595897510000000;-6,197679990000000;-2,599086369999990;-5,147884350000000;-6,750041380000000;0,97279;-0,97090
i35r13;35;13;1;Tomek;0;0;2;4;6;1;26;4;0;0;73;38;0;4,520818770000010;10,975902150000000;9,014864160000000;6,304976700000000;11,826272420000000;0,97279;-0,97090
i35r14;35;14;2;Karolina;0;0;2;4;6;1;26;4;0;0;50;46;0;5,073369320000000;7,838528860000000;0,102345480000004;-2,956196310000000;-1,884236270000000;0,05852;-0,50487
i35r15;35;15;1;Tomek;0;0;1;4;6;1;26;4;0;0;73;38;0;-4,524176650000000;-0,920909989999998;-3,016268999999990;-8,311291400000000;-11,437985800000000;0,97279;-0,97090
i35r16;35;16;2;Karolina;1;0;2;4;6;0;26;4;0;0;50;46;0;5,634065540000010;4,294602240000000;1,689025290000000;8,789810180000000;7,546535340000010;0,05852;-0,50487
i35r17;35;17;1;Tomek;1;0;1;6;4;1;26;4;0;0;73;38;0;-5,985798140000000;-10,387844010000000;-12,370743530000000;-7,543388030000000;-6,673376630000010;0,97279;-0,97090
i35r18;35;18;2;Karolina;1;0;2;7;3;1;26;4;0;0;50;46;0;-0,610413659999992;-1,800972520000000;-3,395139779999990;-4,957330090000000;-4,457407000000000;0,05852;-0,50487
i35r19;35;19;1;Tomek;0;0;2;4;6;1;26;4;0;0;73;38;0;6,154775820000000;9,362309680000000;18,125476340000000;17,348004870000000;14,842393900000000;0,97279;-0,97090
i35r20;35;20;2;Karolina;0;0;0;2;8;1;26;4;0;0;50;46;0;-3,204261530000010;3,943487140000000;0,990277350000000;-3,589469540000010;-0,505985199999998;0,05852;-0,50487
i35r21;35;21;2;Karolina;1;0;2;4;6;0;26;4;0;0;50;46;0;-0,234298729999992;-0,312042899999994;6,805455850000000;5,183949430000000;-0,621258689999991;0,05852;-0,50487
i35r22;35;22;1;Tomek;0;0;0;4;6;1;26;4;0;0;73;38;0;1,780335380000000;-5,455769770000000;-10,451172860000000;-12,573921780000000;-9,070308920000000;0,97279;-0,97090
i35r23;35;23;1;Tomek;1;0;0;5;5;0;26;4;0;0;73;38;0;-0,865254440000001;-10,131382970000000;-13,755639970000000;-15,160514540000000;-9,261371570000010;0,97279;-0,97090
i35r24;35;24;2;Karolina;1;0;0;5;5;1;26;4;0;0;50;46;0;7,715989729999990;1,508459939999990;-1,371276940000000;-2,548055880000010;2,838623279999990;0,05852;-0,50487
i35r25;35;25;1;Tomek;1;0;0;5;5;0;26;4;0;0;73;38;0;-3,085502160000000;-7,072926440000000;-9,165584930000010;-4,715653930000000;-9,975920700000000;0,97279;-0,97090
i35r26;35;26;2;Karolina;1;0;0;4;6;1;26;4;0;0;50;46;0;-0,431806199999997;-7,639770360000000;-9,538108650000000;-4,665277649999990;-11,819612340000000;0,05852;-0,50487
i35r27;35;27;2;Karolina;0;0;1;4;6;1;26;4;0;0;50;46;0;2,301928780000000;8,754217100000010;0,849525099999994;1,952276850000000;7,557923770000000;0,05852;-0,50487
i35r28;35;28;1;Tomek;0;0;0;4;6;1;26;4;0;0;73;38;0;0,433389640000001;5,770561990000000;5,320736299999990;-0,598093149999997;1,405484980000000;0,97279;-0,97090
i35r29;35;29;1;Tomek;1;0;0;7;3;1;26;4;0;0;73;38;0;-5,099439060000010;-8,028628720000000;-3,411303940000000;-6,894928940000000;-10,251586140000000;0,97279;-0,97090
i35r30;35;30;2;Karolina;1;0;2;3;7;0;26;4;0;0;50;46;0;1,527140630000010;2,277214160000010;2,597975000000010;10,843638710000000;8,592256370000000;0,05852;-0,50487
i35r31;35;31;1;Tomek;0;0;0;5;5;1;26;4;0;0;73;38;0;7,641070750000010;8,780736830000010;5,001292320000000;4,014017200000010;3,212092580000000;0,97279;-0,97090
